run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,1,-0.642962529022,0.5,,,85,6.15978260756,1
2,2,-0.617659666975,0.499542064467145,,,,,0
3,2,-0.63512583419,0.4990845483441945,,,,,0
4,1,-0.641212180871,0.4986274512470231,,,,,1
5,1,-0.728761082297,0.49817077279185723,,,,,1
6,1,-0.616212113998,0.49771451259527477,,,,,0
7,1,-0.656222990335,0.4972586702742048,,,,,1
8,1,-0.713587439453,0.4968032454459272,,,,,1
9,3,-0.941907294652,0.49634823772807246,,,,,1
10,1,-0.638458912095,0.4958936467386212,,,,,1
11,1,-0.619145697778,0.4954394720959039,59,15.4576915622,,,1
12,2,-0.724052600928,0.4949857134186006,,,,,0
13,1,-1.0,0.49453237032574066,,,,,0
14,2,-0.630907932937,0.4940794424367023,,,,,1
15,1,-1.0,0.4936269293712124,,,,,1
16,2,-0.712654098792,0.49317483074934604,,,,,1
17,1,-0.643024045495,0.4927231461915263,,,,,1
18,1,-0.624807328659,0.4922718753185239,,,,,1
19,1,-0.627861660923,0.49182101775145687,,,,,1
20,1,-0.63101429775,0.4913705731117903,,,,,1
21,1,-0.737456897324,0.49092054102133587,62,15.1234742212,,,1
22,1,-0.737434037021,0.4904709211022517,,,,,0
23,1,-0.634017224938,0.490021712977042,,,,,0
24,2,-0.597118538836,0.4895729162685567,,,,,1
25,1,-0.675235552856,0.48912453059999106,,,,,1
26,1,-0.686592234719,0.48867655559488554,,,,,0
27,3,-1.02142497688,0.48822899087712535,,,,,1
28,1,-0.765451849938,0.48778183607094017,,,,,1
29,1,-0.60827985162,0.48733509080090387,,,,,0
30,1,-0.615980599276,0.48688875469193416,,,,,1
31,2,-0.746708320027,0.48644282736929223,62,14.8845667553,,,1
32,1,-0.747754298714,0.4859973084585825,,,,,0
33,3,-0.881314232898,0.48555219758575235,,,,,0
34,3,-1.21399766957,0.48510749437709166,,,,,1
35,1,-0.623557340555,0.4846631984592326,,,,,1
36,1,-0.695002630398,0.4842193094591493,,,,,0
37,1,-0.654221315804,0.4837758270041576,,,,,1
38,1,-0.73165027092,0.48333275072191456,,,,,1
39,6,-0.657994333506,0.48289008024041835,,,,,1
40,1,-0.635286442908,0.4824478151880078,,,,,1
41,1,-0.732547454302,0.4820059551933621,62,15.4353779387,,,1
42,2,-0.715398407429,0.4815644998855006,,,,,0
43,2,-0.693785610059,0.48112344889378234,,,,,1
44,1,-0.756452536609,0.4806828018479059,,,,,1
45,1,-0.761278992357,0.48024255837790897,,,,,0
46,2,-0.81890622244,0.4798027181141681,,,,,1
47,1,-0.650650569807,0.4793632806873983,,,,,1
48,1,-0.698710861981,0.4789242457286529,,,,,1
49,3,0.176285852146,0.478485612869323,,,,,0
50,1,-0.714859187604,0.4780473817411375,,,,,1
51,2,-0.552554625643,0.47760955197616234,,,61,15.4272383571,1
52,1,-0.738463549628,0.47717212320680064,,,,,0
53,1,-0.699892675787,0.4767350950657921,,,,,0
54,1,-0.642406704207,0.4762984671862128,,,,,1
55,1,-0.719508054848,0.47586223920147497,,,,,1
56,1,-0.721711045601,0.4754264107453264,,,,,1
57,2,-0.705199399631,0.47499098145185037,,,,,0
58,3,0.317188414662,0.47455595095546543,,,,,1
59,1,-0.779982505362,0.47412131889092485,,,,,1
60,2,-0.5543212138,0.4736870848933164,,,,,0
61,1,-0.718045854586,0.4732532485980621,55,14.5261476159,,,1
62,1,-0.667988587104,0.4728198096409179,,,,,0
63,1,-0.750295199048,0.47238676765797327,,,,,0
64,1,-0.657024139913,0.47195412228565103,,,,,0
65,1,-0.620694049028,0.47152187316070704,,,,,1
66,2,-0.685361903915,0.47109001992022975,,,,,1
67,2,-0.735818162511,0.47065856220164004,,,,,1
68,1,-0.643479792991,0.4702274996426909,,,,,1
69,2,-0.741227186957,0.469796831881467,,,,,1
70,1,-0.782234689056,0.46936655855638454,,,,,1
71,1,-0.668782206231,0.4689366793061909,57,14.490792315,,,0
72,3,-0.673883138224,0.4685071937699642,,,,,0
73,1,-0.75838744772,0.46807810158711327,,,,,0
74,3,-1.1451394126,0.4676494023973772,,,,,0
75,1,-0.66117489583,0.46722109584082483,,,,,0
76,1,-1,0.4667931815578549,,,,,0
77,1,-0.72990878299,0.4663656591891953,,,,,0
78,1,-0.607378473117,0.46593852837590316,,,,,0
79,1,-0.735206049158,0.46551178875936416,,,,,0
80,1,-0.655384102175,0.46508543998129254,,,,,0
81,1,-0.71027719743,0.46465948168373067,60,14.4824231982,,,0
82,2,-0.571318520484,0.46423391350904875,,,,,0
83,2,-0.830764757617,0.46380873509994447,,,,,0
84,1,-0.622591865259,0.4633839460994429,,,,,0
85,1,-0.772490654118,0.4629595461508959,,,,,0
86,1,-0.730910019943,0.46253553489798205,,,,,0
87,3,-1.09740150791,0.4621119119847063,,,,,0
88,1,-0.766182368043,0.46168867705539957,,,,,0
89,1,-0.761534294669,0.4612658297547186,,,,,0
90,1,-0.61424038183,0.4608433697276455,,,,,0
91,2,-0.97352136581,0.46042129661948766,1,-0.603625873279,,,0
92,1,-0.726914221458,0.4599996100758772,,,,,0
93,3,-0.0724728895312,0.4595783097427708,,,,,0
94,1,-1.0,0.4591573952664495,,,,,0
95,1,-0.755976582626,0.4587368662935182,,,,,0
96,1,-0.621858839433,0.45831672247090544,,,,,0
97,1,-0.773136569417,0.4578969634458633,,,,,0
98,1,-0.742295924677,0.45747758886596673,,,,,0
99,1,-0.652505894483,0.4570585983791136,,,,,0
100,1,-0.786825434233,0.4566399916335242,,,,,0
101,5,-0.101578168869,0.45622176827774097,,,37,8.07261730113,0
102,1,-0.779491695238,0.45580392796062835,,,,,0
103,1,-0.774306762347,0.45538647033137225,,,,,0
