run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,1,-0.672555409279,0.5,,,33,3.22865844011,1
2,5,-1.18247953507,0.499542064467145,,,,,0
3,1,-0.722533522802,0.4990845483441945,,,,,1
4,2,-1.11891837336,0.4986274512470231,,,,,1
5,2,0.318295702961,0.49817077279185723,,,,,1
6,2,-0.522183822954,0.49771451259527477,,,,,1
7,1,-0.704609064959,0.4972586702742048,,,,,1
8,1,-0.71322099176,0.4968032454459272,,,,,0
9,5,0.0458028137068,0.49634823772807246,,,,,1
10,1,-0.691942780609,0.4958936467386212,,,,,1
11,1,-0.715895024011,0.4954394720959039,56,12.0722241211,,,1
12,1,-0.712037723855,0.4949857134186006,,,,,0
13,1,-0.636399549363,0.49453237032574066,,,,,0
14,1,-0.696944230211,0.4940794424367023,,,,,1
15,2,-0.741222286541,0.4936269293712124,,,,,1
16,1,-0.630635787828,0.49317483074934604,,,,,1
17,2,-0.811900048149,0.4927231461915263,,,,,0
18,2,-0.75632626241,0.4922718753185239,,,,,1
19,1,-0.671493768115,0.49182101775145687,,,,,1
20,1,-0.688507762045,0.4913705731117903,,,,,1
21,2,-0.713531866644,0.49092054102133587,63,12.7513944364,,,1
22,2,-0.654878247598,0.4904709211022517,,,,,0
23,2,-0.868129125657,0.490021712977042,,,,,0
24,1,-0.697348160437,0.4895729162685567,,,,,1
25,2,-0.905090575791,0.48912453059999106,,,,,1
26,1,-0.72179731161,0.48867655559488554,,,,,1
27,1,-0.691714999191,0.48822899087712535,,,,,0
28,2,0.377800844138,0.48778183607094017,,,,,1
29,1,-0.623866782418,0.48733509080090387,,,,,1
30,2,-0.810527954633,0.48688875469193416,,,,,1
31,1,-0.701741968563,0.48644282736929223,24,3.57618507255,,,1
32,1,-0.65477591578,0.4859973084585825,,,,,1
33,3,-1.12952519631,0.48555219758575235,,,,,0
34,2,0.343051011864,0.48510749437709166,,,,,1
35,3,-0.699257215177,0.4846631984592326,,,,,1
36,1,-0.732775604707,0.4842193094591493,,,,,1
37,1,-0.721797790981,0.4837758270041576,,,,,0
38,2,-0.942147542881,0.48333275072191456,,,,,1
39,2,-1.0618770649,0.48289008024041835,,,,,1
