run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,1,-0.670418816228,0.5,,,71,11.1396442771,1
2,1,-1.0,0.499542064467145,,,,,0
3,1,-0.700336719858,0.4990845483441945,,,,,0
4,1,-0.666293109888,0.4986274512470231,,,,,1
5,1,-0.662787361773,0.49817077279185723,,,,,1
6,1,-0.672594906049,0.49771451259527477,,,,,1
7,1,-0.666518876268,0.4972586702742048,,,,,0
8,1,-0.70534787079,0.4968032454459272,,,,,1
9,2,-0.617912267418,0.49634823772807246,,,,,1
10,3,-0.969257638339,0.4958936467386212,,,,,1
11,1,-0.619141497856,0.4954394720959039,32,4.76192912775,,,1
12,1,-0.631273815274,0.4949857134186006,,,,,1
13,1,-1.0,0.49453237032574066,,,,,1
14,2,-0.617342107666,0.4940794424367023,,,,,1
15,1,-0.719346247264,0.4936269293712124,,,,,1
16,3,-0.912710990018,0.49317483074934604,,,,,1
17,2,-0.834152084241,0.4927231461915263,,,,,1
18,3,0.363102718527,0.4922718753185239,,,,,1
19,1,-0.645355065431,0.49182101775145687,,,,,1
20,2,-0.833387570605,0.4913705731117903,,,,,1
21,4,-1.02107016431,0.49092054102133587,31,5.13702278137,,,1
22,2,-0.915461930047,0.4904709211022517,,,,,1
23,2,-0.710422866695,0.490021712977042,,,,,1
24,1,-0.625186045344,0.4895729162685567,,,,,1
25,1,-0.611416480074,0.48912453059999106,,,,,1
26,1,-0.72214962401,0.48867655559488554,,,,,0
27,1,-0.675441280905,0.48822899087712535,,,,,1
28,1,-0.621417990753,0.48778183607094017,,,,,1
29,2,-0.70926990002,0.48733509080090387,,,,,1
30,2,-0.932360807864,0.48688875469193416,,,,,1
31,1,-0.760361481665,0.48644282736929223,4,0.198055317318,,,1
32,1,-0.749673035518,0.4859973084585825,,,,,0
33,2,-0.693445119976,0.48555219758575235,,,,,1
34,1,-0.641797422928,0.48510749437709166,,,,,1
35,1,-0.70554562728,0.4846631984592326,,,,,0
36,2,-0.808029454731,0.4842193094591493,,,,,0
37,3,0.103617845998,0.4837758270041576,,,,,1
38,1,-0.726852613381,0.48333275072191456,,,,,1
39,2,-0.626358969152,0.48289008024041835,,,,,1
40,2,-0.759067965393,0.4824478151880078,,,,,1
41,1,-0.78220915906,0.4820059551933621,25,4.50899450541,,,1
42,1,-0.771027687931,0.4815644998855006,,,,,0
43,1,-0.752740350591,0.48112344889378234,,,,,0
44,1,-0.784827447251,0.4806828018479059,,,,,1
45,2,-0.600684811303,0.48024255837790897,,,,,0
46,5,-0.228991241355,0.4798027181141681,,,,,1
47,3,-0.780933205028,0.4793632806873983,,,,,1
48,1,-0.695659329189,0.4789242457286529,,,,,1
49,4,-0.029129243724,0.478485612869323,,,,,0
50,1,-0.792530643718,0.4780473817411375,,,,,1
51,2,-0.544954229481,0.47760955197616234,,,30,3.63730937004,1
52,5,-1.49856664254,0.47717212320680064,,,,,1
53,2,0.25031440293,0.4767350950657921,,,,,1
54,1,-0.611554634012,0.4762984671862128,,,,,1
55,1,-0.709381477021,0.47586223920147497,,,,,1
56,1,-0.730100732768,0.4754264107453264,,,,,0
57,1,-0.756293583696,0.47499098145185037,,,,,1
58,3,-0.706172999447,0.47455595095546543,,,,,0
59,2,-1.10580353975,0.47412131889092485,,,,,1
60,3,-0.691401946567,0.4736870848933164,,,,,1
61,3,-1.47806067228,0.4732532485980621,29,3.99013252317,,,1
62,2,-0.708847308477,0.4728198096409179,,,,,1
63,1,-0.713819515663,0.47238676765797327,,,,,0
64,1,-0.718983143109,0.47195412228565103,,,,,1
65,1,-0.616567138829,0.47152187316070704,,,,,1
66,3,-0.667911460664,0.47109001992022975,,,,,1
67,1,-0.706603042806,0.47065856220164004,,,,,1
68,1,-0.649996481074,0.4702274996426909,,,,,1
69,1,-0.672821739167,0.469796831881467,,,,,0
70,1,-1.0,0.46936655855638454,,,,,1
71,1,-0.725919548594,0.4689366793061909,3,-0.598395037323,,,1
72,2,-0.873934985179,0.4685071937699642,,,,,1
73,1,-0.750928234916,0.46807810158711327,,,,,1
74,4,0.0394618622489,0.4676494023973772,,,,,1
75,3,-0.956884238555,0.46722109584082483,,,,,1
76,1,-0.664240863149,0.4667931815578549,,,,,1
77,2,-0.993320570733,0.4663656591891953,,,,,0
78,1,-0.689638659054,0.46593852837590316,,,,,1
79,1,-0.635344122014,0.46551178875936416,,,,,1
80,1,-0.608527425012,0.46508543998129254,,,,,1
81,1,-0.6364443359,0.46465948168373067,1,-0.604607749109,,,1
82,3,-0.0102231794493,0.46423391350904875,,,,,1
83,1,-0.691210027233,0.46380873509994447,,,,,1
84,1,-0.63783675207,0.4633839460994429,,,,,0
85,1,-0.776995053461,0.4629595461508959,,,,,1
86,1,-0.723673762926,0.46253553489798205,,,,,0
87,1,-0.770969309018,0.4621119119847063,,,,,1
88,2,-0.649826425425,0.46168867705539957,,,,,0
89,1,-0.650878054685,0.4612658297547186,,,,,1
90,1,-0.722926553808,0.4608433697276455,,,,,0
91,3,-0.664728274889,0.46042129661948766,29,5.38749517202,,,1
92,1,-1.0,0.4599996100758772,,,,,1
93,3,-0.748875557539,0.4595783097427708,,,,,1
94,1,-0.738841628917,0.4591573952664495,,,,,1
95,1,-0.720563408774,0.4587368662935182,,,,,0
96,1,-0.650436080071,0.45831672247090544,,,,,1
97,2,-0.858709826402,0.4578969634458633,,,,,1
98,1,-0.682236720791,0.45747758886596673,,,,,1
99,1,-0.733908710875,0.4570585983791136,,,,,1
100,1,-0.750882522189,0.4566399916335242,,,,,1
101,,,,,,30,3.72008236408,
