run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,3,-0.665349676114,0.5,,,33,7.09625063223,1
2,1,-0.694402306362,0.499542064467145,,,,,1
3,1,-0.672859847562,0.4990845483441945,,,,,1
4,1,-1.0,0.4986274512470231,,,,,1
5,1,-0.612215219212,0.49817077279185723,,,,,1
6,2,-0.665250367125,0.49771451259527477,,,,,0
7,1,-0.670984648558,0.4972586702742048,,,,,1
8,5,-0.251690387748,0.4968032454459272,,,,,1
9,1,-0.787034576286,0.49634823772807246,,,,,1
10,2,-0.679485419198,0.4958936467386212,,,,,0
11,1,-0.738046761347,0.4954394720959039,24,5.58439586639,,,1
12,1,-0.68835243876,0.4949857134186006,,,,,0
13,2,-0.595788692428,0.49453237032574066,,,,,1
14,1,-0.741163320595,0.4940794424367023,,,,,1
15,1,-0.631442418518,0.4936269293712124,,,,,0
16,1,-0.609880883973,0.49317483074934604,,,,,1
17,1,-0.626354880113,0.4927231461915263,,,,,1
18,1,-0.756165191104,0.4922718753185239,,,,,1
19,1,-0.627604312543,0.49182101775145687,,,,,0
20,2,-0.807457582924,0.4913705731117903,,,,,1
21,4,0.0936964384096,0.49092054102133587,11,1.02875275032,,,1
22,1,-0.712951382421,0.4904709211022517,,,,,1
23,1,-0.756209205823,0.490021712977042,,,,,0
24,1,-0.688114756568,0.4895729162685567,,,,,1
