run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,1,-0.698562062307,0.5,,,26,0.659006458842,1
2,1,-0.775702297087,0.499542064467145,,,,,0
3,1,-0.679808667565,0.4990845483441945,,,,,0
4,1,-0.783391312918,0.4986274512470231,,,,,0
5,2,-0.802935557975,0.49817077279185723,,,,,1
6,3,-1.13885522171,0.49771451259527477,,,,,1
7,1,-0.619806116682,0.4972586702742048,,,,,1
8,1,-0.738490703958,0.4968032454459272,,,,,1
9,1,-0.725101430931,0.49634823772807246,,,,,1
10,2,-0.944529965425,0.4958936467386212,,,,,1
11,1,-0.621297910713,0.4954394720959039,12,1.89389836045,,,1
12,1,-0.649376813568,0.4949857134186006,,,,,1
13,1,-0.668322714009,0.49453237032574066,,,,,1
14,2,-0.780879274884,0.4940794424367023,,,,,1
15,4,-0.0778578561045,0.4936269293712124,,,,,1
16,2,-0.908599905968,0.49317483074934604,,,,,1
17,1,-0.687991390032,0.4927231461915263,,,,,1
18,4,-0.872511939709,0.4922718753185239,,,,,0
19,4,-0.308358704531,0.49182101775145687,,,,,1
20,1,-0.717362268875,0.4913705731117903,,,,,1
21,2,-0.789095306377,0.49092054102133587,15,2.09123539193,,,1
22,2,0.335378421257,0.4904709211022517,,,,,1
23,2,-0.66275541885,0.490021712977042,,,,,1
24,1,-0.715294055359,0.4895729162685567,,,,,1
25,1,-0.694649802741,0.48912453059999106,,,,,1
26,1,-0.776512928147,0.48867655559488554,,,,,1
27,1,-0.779043111731,0.48822899087712535,,,,,0
28,2,-0.671672106326,0.48778183607094017,,,,,1
29,1,-0.755037927589,0.48733509080090387,,,,,1
30,1,-0.653538343499,0.48688875469193416,,,,,0
31,1,-0.614160217655,0.48644282736929223,5,0.0833424814581,,,1
32,1,-0.64770448309,0.4859973084585825,,,,,1
33,1,-0.739364913856,0.48555219758575235,,,,,1
34,2,-0.745401023893,0.48510749437709166,,,,,1
35,5,-0.154699893617,0.4846631984592326,,,,,1
36,3,-1.04327666129,0.4842193094591493,,,,,1
37,1,-0.671240629799,0.4837758270041576,,,,,1
38,2,-0.848022966238,0.48333275072191456,,,,,1
39,1,1,0.48289008024041835,,,,,1
40,1,-0.736590885389,0.4824478151880078,,,,,0
41,1,-0.651413792851,0.4820059551933621,1,1,,,1
42,1,-0.634803727056,0.4815644998855006,,,,,1
43,1,-0.745312993874,0.48112344889378234,,,,,1
44,1,-0.655474164816,0.4806828018479059,,,,,0
45,1,-0.652658727402,0.48024255837790897,,,,,1
46,2,-0.621182472047,0.4798027181141681,,,,,1
47,1,-0.755582837664,0.4793632806873983,,,,,1
48,1,-0.675289845713,0.4789242457286529,,,,,1
49,1,-0.651617237539,0.478485612869323,,,,,1
50,1,-0.610333833043,0.4780473817411375,,,,,1
51,2,-0.647479507402,0.47760955197616234,,,45,7.69576363641,1
52,1,-0.689819484045,0.47717212320680064,,,,,1
53,1,-0.699825290882,0.4767350950657921,,,,,1
54,1,-0.640384657878,0.4762984671862128,,,,,1
55,1,-0.621924486047,0.47586223920147497,,,,,1
56,2,-0.816832161761,0.4754264107453264,,,,,1
57,2,-0.722758756574,0.47499098145185037,,,,,1
58,1,-0.675084750995,0.47455595095546543,,,,,1
59,3,-0.943795354119,0.47412131889092485,,,,,1
60,1,-0.675228616691,0.4736870848933164,,,,,1
61,1,-0.615880793038,0.4732532485980621,7,1.05109739358,,,1
62,3,-0.750254498681,0.4728198096409179,,,,,1
63,1,-0.658400419164,0.47238676765797327,,,,,1
64,2,-0.810995801014,0.47195412228565103,,,,,1
65,1,-0.789327371015,0.47152187316070704,,,,,1
66,3,0.125187464437,0.47109001992022975,,,,,0
67,1,-0.663993967842,0.47065856220164004,,,,,1
68,3,-0.674856672809,0.4702274996426909,,,,,1
69,1,-0.659274764557,0.469796831881467,,,,,1
70,3,-0.971778220083,0.46936655855638454,,,,,0
71,2,-0.551387392253,0.4689366793061909,5,1.91220533371,,,1
72,1,-0.640497933834,0.4685071937699642,,,,,1
73,1,-0.706623848198,0.46807810158711327,,,,,0
74,1,-0.631010902088,0.4676494023973772,,,,,1
75,2,-0.712329505556,0.46722109584082483,,,,,0
76,1,-0.697293441972,0.4667931815578549,,,,,1
77,2,-0.756631152171,0.4663656591891953,,,,,1
78,1,-0.678117763123,0.46593852837590316,,,,,1
79,2,0.300859740161,0.46551178875936416,,,,,1
80,1,-0.620167305706,0.46508543998129254,,,,,1
81,2,-0.688796693869,0.46465948168373067,7,1.93427024364,,,1
82,2,-0.673088726427,0.46423391350904875,,,,,1
83,2,-1.01151652962,0.46380873509994447,,,,,1
84,1,-0.77034883932,0.4633839460994429,,,,,1
85,1,-0.769220661738,0.4629595461508959,,,,,0
86,2,-0.837437254948,0.46253553489798205,,,,,1
87,1,-0.730675093205,0.4621119119847063,,,,,1
88,1,-0.653915754331,0.46168867705539957,,,,,1
89,1,-0.641209367127,0.4612658297547186,,,,,1
