run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,2,0.307096460738,0.5,,,23,-0.0622774997377,1
2,2,-0.763310479386,0.499542064467145,,,,,1
3,1,-0.666083207715,0.4990845483441945,,,,,1
4,1,-0.701361949177,0.4986274512470231,,,,,1
5,1,-0.611666222667,0.49817077279185723,,,,,1
6,1,-0.75066177991,0.49771451259527477,,,,,1
7,1,-0.660526638118,0.4972586702742048,,,,,0
8,2,-0.657933342221,0.4968032454459272,,,,,1
9,1,-0.683877256273,0.49634823772807246,,,,,1
10,3,-0.990391189631,0.4958936467386212,,,,,1
11,1,-0.758504132206,0.4954394720959039,7,1.33934269453,,,1
12,1,-1.0,0.4949857134186006,,,,,1
13,1,-0.660799795043,0.49453237032574066,,,,,1
14,2,-0.755265580329,0.4940794424367023,,,,,1
15,1,-0.618582010239,0.4936269293712124,,,,,1
16,1,-0.681813589116,0.49317483074934604,,,,,0
17,1,-0.631741844759,0.4927231461915263,,,,,1
18,2,-0.890073159097,0.4922718753185239,,,,,1
19,6,-2.19204154768,0.49182101775145687,,,,,1
20,1,-0.664362587934,0.4913705731117903,,,,,1
21,2,-0.623002586051,0.49092054102133587,38,6.99631957293,,,1
22,1,-0.690466038161,0.4904709211022517,,,,,1
23,2,-0.806531428821,0.490021712977042,,,,,0
24,2,-0.883671348112,0.4895729162685567,,,,,1
