run_number,steps,rewards,exploration_probability,advancing_steps,advancing_rewards,testing_steps,testing_rewards,successful_network_update
1,1,-0.708000801918,0.5,,,34,2.9958415699,1
2,3,-0.735321546842,0.499542064467145,,,,,0
3,1,-0.653238268269,0.4990845483441945,,,,,1
4,2,-0.80235815348,0.4986274512470231,,,,,1
5,2,-0.913038868132,0.49817077279185723,,,,,1
6,2,-1.35714205801,0.49771451259527477,,,,,1
7,1,-0.679206370242,0.4972586702742048,,,,,1
8,3,-0.74298265066,0.4968032454459272,,,,,1
9,1,-0.610811714914,0.49634823772807246,,,,,1
10,1,-0.75026171806,0.4958936467386212,,,,,1
11,1,-0.658024001263,0.4954394720959039,70,10.8891889691,,,1
12,1,-0.652367402163,0.4949857134186006,,,,,0
13,1,-0.619700559672,0.49453237032574066,,,,,0
14,1,-0.632930990075,0.4940794424367023,,,,,1
15,1,-0.732122099899,0.4936269293712124,,,,,1
16,2,-0.765956845536,0.49317483074934604,,,,,0
17,1,-0.661544429373,0.4927231461915263,,,,,1
18,1,-0.662416490819,0.4922718753185239,,,,,1
19,3,-0.80628034559,0.49182101775145687,,,,,1
